spotify_id,artist_name,event_date,venue_name,venue_city,venue_country,event_url,ticket_url,ticket_status,start_time,timezone
5F0iFhw7bZE7a8INjualJn,Braza,2022-12-17,Fundição Progresso,Rio de Janeiro,Brazil,https://www.bandsintown.com/z/103905000-braza-at-fundicao-progresso?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103905000-braza-at-fundicao-progresso?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-12-17T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-11-26,Arena Das Dunas Stadium,Natal,Brazil,https://www.bandsintown.com/z/103737303-braza-at-arena-das-dunas-stadium?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103737303-braza-at-arena-das-dunas-stadium?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-11-26T19:00:00,America/Fortaleza
5F0iFhw7bZE7a8INjualJn,Braza,2022-11-13,Studio 5 Convention Center,Manaus,Brazil,https://www.bandsintown.com/z/103695041-braza-at-studio-5-convention-center?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103695041-braza-at-studio-5-convention-center?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-11-13T17:00:00,America/Manaus
5F0iFhw7bZE7a8INjualJn,Braza,2022-10-22,Sambari Day,Santa Maria,Brazil,https://www.bandsintown.com/z/103796601-braza-at-sambari-day?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103796601-braza-at-sambari-day?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-10-22T18:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-10-8,Trapiche Barnabé,Salvador,Brazil,https://www.bandsintown.com/z/103737144-braza-at-trapiche-barnabe?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103737144-braza-at-trapiche-barnabe?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-10-08T22:00:00,America/Bahia
5F0iFhw7bZE7a8INjualJn,Braza,2022-09-30,Fundição Progresso,Rio de Janeiro,Brazil,https://www.bandsintown.com/z/103737186-braza-at-fundicao-progresso?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103737186-braza-at-fundicao-progresso?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-09-30T20:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-09-10,Teatro Rival,Rio de Janeiro,Brazil,https://www.bandsintown.com/z/103656188-braza-at-teatro-rival?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103656188-braza-at-teatro-rival?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-09-10T19:30:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-08-20,Casa Natura Musical,São Paulo,Brazil,https://www.bandsintown.com/z/103582032-braza-at-casa-natura-musical?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103582032-braza-at-casa-natura-musical?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-08-20T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-08-19,Casa Natura Musical,São Paulo,Brazil,https://www.bandsintown.com/z/103651478-braza-at-casa-natura-musical?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103651478-braza-at-casa-natura-musical?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-08-19T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2022-08-13,Arena Club Santos,Santos,Brazil,https://www.bandsintown.com/z/103459548-braza-at-arena-club-santos?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/103459548-braza-at-arena-club-santos?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2022-08-13T12:00:00,America/Sao_Paulo
